Lewis Hamilton,Great Britain,7/1/1985,2006,1.4,44
Valtteri Bottas,Finland,28/8/1989,2013,1.38,77
Sebastian Vettel,Germany,3/7/1987,2006,1.36,5
Charles Leclerc,Monaco,16/10/1997,2018,1.39,16
Max Verstappen,Netherlands,30/9/1997,2015,1.4,33
Pierre Gasly,France,7/2/1996,2018,1.15,10
Lando Norris,Great Britain,13/11/1999,2019,1.25,4
Carlos Sainz,Spain,1/9/1994,2015,1.22,55
Kimi Raikkonen,Finland,17/10/1979,2001,1.29,7
Antonio Giovinazzi,Italy,14/12/1993,2019,1.17,99
Daniel Ricciardo,Australia,1/7/1989,2011,1.25,3
Nico Hulkenberg,Germany,19/8/1987,2010,1.26,27
Romain Grosjean,France,17/4/1986,2009,1.25,8
Kevin Magnussen,Denmark,5/10/1992,2014,1.23,20
Sergio Perez,Mexico,26/1/1990,2011,1.27,11
Lance Stroll,Canada,29/10/1998,2017,1.24,18
Daniil Kvyat,Russia,26/4/1994,2014,1.26,26
Alexander Albon,Thailand,23/3/1996,2019,1.26,23
Robert Kubica,Poland,7/12/1984,2006,1.14,88
George Russell,Great Britain,15/2/1998,2019,1.25,63
