Great Britain,British,Europe
Finland,Finnish,Europe
Netherlands,Dutch,Europe
Germany,German,Europe
Monaco,Monaco,Europe
France,French,Europe
Denmark,Dannish,Europe
Russia,Russian,Europe
Spain,Spanish,Europe
Poland,Polish,Europe
Austria,Austrian,Europe
Hungary,Hungarian,Europe
Belgium,Belgian,Europe
Azerbaijan,Azerbaijani,Europe
Italy,Italian,Europe
Mexico,Mexican,North America
Canada,Canadian,North America
United States,American,North America
Brazil,Brazilian,South America
Bahrain,Bahraini,Asia
Singapore,Singaporean,Asia
Japan,Japanese,Asia
China,Chinese,Asia
Thailand,Thai,Asia
Abu Dhabi,Abu Dhabi,Asia
Australia,Australian,Australia
